threads_count,mmin,mmax,nanoseconds
2,16777215,33554431,10739039671
2,16777215,33554431,10722628671
2,16777215,33554431,10724881605
2,16777215,33554431,10720116842
2,16777215,33554431,10721468875
2,16777215,33554431,10720389291
2,16777215,33554431,10718908618
2,16777215,33554431,10718991575
2,16777215,33554431,10716653113
2,16777215,33554431,10723572309
3,16777215,33554431,7261839954
3,16777215,33554431,7251791818
3,16777215,33554431,7249390966
3,16777215,33554431,7251475384
3,16777215,33554431,7249755784
3,16777215,33554431,7253818394
3,16777215,33554431,7250733075
3,16777215,33554431,7250036304
3,16777215,33554431,7253508984
3,16777215,33554431,7250034209
4,16777215,33554431,5540461238
4,16777215,33554431,5534583452
4,16777215,33554431,5538019398
4,16777215,33554431,5538050049
4,16777215,33554431,5537835684
4,16777215,33554431,5539106410
4,16777215,33554431,5536209955
4,16777215,33554431,5539719823
4,16777215,33554431,5534582176
4,16777215,33554431,5537328878
5,16777215,33554431,4487034896
5,16777215,33554431,4487475816
5,16777215,33554431,4487394553
5,16777215,33554431,4488831469
5,16777215,33554431,4488705613
5,16777215,33554431,4490952938
5,16777215,33554431,4489424064
5,16777215,33554431,4489452353
5,16777215,33554431,4486394036
5,16777215,33554431,4486216258
6,16777215,33554431,3758200566
6,16777215,33554431,3761679299
6,16777215,33554431,3759975450
6,16777215,33554431,3764280995
6,16777215,33554431,3754338364
6,16777215,33554431,3756947525
6,16777215,33554431,3758144533
6,16777215,33554431,3755398809
6,16777215,33554431,3761920496
6,16777215,33554431,3756907695
7,16777215,33554431,4041509372
7,16777215,33554431,4025637907
7,16777215,33554431,4249248409
7,16777215,33554431,4104102187
7,16777215,33554431,4283690688
7,16777215,33554431,4140528803
7,16777215,33554431,4295966535
7,16777215,33554431,4197800780
7,16777215,33554431,4259827452
7,16777215,33554431,4231876825
8,16777215,33554431,3759836546
8,16777215,33554431,3767912959
8,16777215,33554431,3662318937
8,16777215,33554431,3786612362
8,16777215,33554431,3689864214
8,16777215,33554431,3787343238
8,16777215,33554431,3823031850
8,16777215,33554431,3758932542
8,16777215,33554431,3840633527
8,16777215,33554431,3806604250
9,16777215,33554431,3457574343
9,16777215,33554431,3466903435
9,16777215,33554431,3523124092
9,16777215,33554431,3421632354
9,16777215,33554431,3500260246
9,16777215,33554431,3497764106
9,16777215,33554431,3454977561
9,16777215,33554431,3518977605
9,16777215,33554431,3475521011
9,16777215,33554431,3515416233
10,16777215,33554431,3290238081
10,16777215,33554431,3272383186
10,16777215,33554431,3350867691
10,16777215,33554431,3360168227
10,16777215,33554431,3367520020
10,16777215,33554431,3400225284
10,16777215,33554431,3359150094
10,16777215,33554431,3320853856
10,16777215,33554431,3376984327
10,16777215,33554431,3351624664
11,16777215,33554431,3156356554
11,16777215,33554431,3147324648
11,16777215,33554431,3192188535
11,16777215,33554431,3113622062
11,16777215,33554431,3148233859
11,16777215,33554431,3189406662
11,16777215,33554431,3174380377
11,16777215,33554431,3095846011
11,16777215,33554431,3127202958
11,16777215,33554431,3095925884
2,8388607,16777215,4312445905
2,8388607,16777215,4300680806
2,8388607,16777215,4268859211
2,8388607,16777215,4275455824
2,8388607,16777215,4276231512
2,8388607,16777215,4277335802
2,8388607,16777215,4273394783
2,8388607,16777215,4270548154
2,8388607,16777215,4280731908
2,8388607,16777215,4264942089
3,8388607,16777215,2892028985
3,8388607,16777215,2884189907
3,8388607,16777215,2888802874
3,8388607,16777215,2892059351
3,8388607,16777215,2894865498
3,8388607,16777215,2882104461
3,8388607,16777215,2887295556
3,8388607,16777215,2891196935
3,8388607,16777215,2883616239
3,8388607,16777215,2882827662
4,8388607,16777215,2213242038
4,8388607,16777215,2213483055
4,8388607,16777215,2215327854
4,8388607,16777215,2214272552
4,8388607,16777215,2213061472
4,8388607,16777215,2212686769
4,8388607,16777215,2213074680
4,8388607,16777215,2212704668
4,8388607,16777215,2211811609
4,8388607,16777215,2213344075
5,8388607,16777215,1784398711
5,8388607,16777215,1783145077
5,8388607,16777215,1783520412
5,8388607,16777215,1840502226
5,8388607,16777215,1824843254
5,8388607,16777215,1812109018
5,8388607,16777215,1818105807
5,8388607,16777215,1810658642
5,8388607,16777215,1800731220
5,8388607,16777215,1805025375
6,8388607,16777215,1521739044
6,8388607,16777215,1522015123
6,8388607,16777215,1516608351
6,8388607,16777215,1531740219
6,8388607,16777215,1519908574
6,8388607,16777215,1522246979
6,8388607,16777215,1517611525
6,8388607,16777215,1517184442
6,8388607,16777215,1518486524
6,8388607,16777215,1526959210
7,8388607,16777215,1684157237
7,8388607,16777215,1564510868
7,8388607,16777215,1588125156
7,8388607,16777215,1629197647
7,8388607,16777215,1571490837
7,8388607,16777215,1652633127
7,8388607,16777215,1558611732
7,8388607,16777215,1617667386
7,8388607,16777215,1687562046
7,8388607,16777215,1649503343
8,8388607,16777215,1492458156
8,8388607,16777215,1489270263
8,8388607,16777215,1452775706
8,8388607,16777215,1513696608
8,8388607,16777215,1501402190
8,8388607,16777215,1509715048
8,8388607,16777215,1496580332
8,8388607,16777215,1485779479
8,8388607,16777215,1508599867
8,8388607,16777215,1552704304
9,8388607,16777215,1418385783
9,8388607,16777215,1404858334
9,8388607,16777215,1402001237
9,8388607,16777215,1398601389
9,8388607,16777215,1383432858
9,8388607,16777215,1384745329
9,8388607,16777215,1395623822
9,8388607,16777215,1357598889
9,8388607,16777215,1436496444
9,8388607,16777215,1365142124
10,8388607,16777215,1312599682
10,8388607,16777215,1323962168
10,8388607,16777215,1326514701
10,8388607,16777215,1326983879
10,8388607,16777215,1299295555
10,8388607,16777215,1335158590
10,8388607,16777215,1304465994
10,8388607,16777215,1317863165
10,8388607,16777215,1305411491
10,8388607,16777215,1332765045
11,8388607,16777215,1248911939
11,8388607,16777215,1228092257
11,8388607,16777215,1244183002
11,8388607,16777215,1229232398
11,8388607,16777215,1227461827
11,8388607,16777215,1239471450
11,8388607,16777215,1246442495
11,8388607,16777215,1256109178
11,8388607,16777215,1244530582
11,8388607,16777215,1270624887
2,4194303,8388607,1729458097
2,4194303,8388607,1726237082
2,4194303,8388607,1727760558
2,4194303,8388607,1730432695
2,4194303,8388607,1731042868
2,4194303,8388607,1728522840
2,4194303,8388607,1726164585
2,4194303,8388607,1728892316
2,4194303,8388607,1727427498
2,4194303,8388607,1727889353
3,4194303,8388607,1193354623
3,4194303,8388607,1191495748
3,4194303,8388607,1187751765
3,4194303,8388607,1188563110
3,4194303,8388607,1188924296
3,4194303,8388607,1189764695
3,4194303,8388607,1189177942
3,4194303,8388607,1187338542
3,4194303,8388607,1188345873
3,4194303,8388607,1189574006
4,4194303,8388607,901363096
4,4194303,8388607,901054712
4,4194303,8388607,900717273
4,4194303,8388607,929399886
4,4194303,8388607,904697760
4,4194303,8388607,901816727
4,4194303,8388607,902732816
4,4194303,8388607,901723946
4,4194303,8388607,917587708
4,4194303,8388607,902818670
5,4194303,8388607,737984853
5,4194303,8388607,738529920
5,4194303,8388607,740538789
5,4194303,8388607,737069638
5,4194303,8388607,737851207
5,4194303,8388607,737969688
5,4194303,8388607,740325432
5,4194303,8388607,738140498
5,4194303,8388607,737934735
5,4194303,8388607,737292687
6,4194303,8388607,646009456
6,4194303,8388607,625053867
6,4194303,8388607,621544832
6,4194303,8388607,622318966
6,4194303,8388607,622371404
6,4194303,8388607,622043714
6,4194303,8388607,623002693
6,4194303,8388607,622137159
6,4194303,8388607,622203033
6,4194303,8388607,624076077
7,4194303,8388607,652803743
7,4194303,8388607,690064418
7,4194303,8388607,690381109
7,4194303,8388607,690698211
7,4194303,8388607,685561139
7,4194303,8388607,669755187
7,4194303,8388607,686484122
7,4194303,8388607,696139813
7,4194303,8388607,674945129
7,4194303,8388607,691091307
8,4194303,8388607,615525091
8,4194303,8388607,618715663
8,4194303,8388607,619655046
8,4194303,8388607,619449142
8,4194303,8388607,619652342
8,4194303,8388607,615588391
8,4194303,8388607,601887355
8,4194303,8388607,617224634
8,4194303,8388607,629467442
8,4194303,8388607,615010044
9,4194303,8388607,599321621
9,4194303,8388607,593478431
9,4194303,8388607,575426899
9,4194303,8388607,574670919
9,4194303,8388607,562128934
9,4194303,8388607,589563269
9,4194303,8388607,577160514
9,4194303,8388607,577784529
9,4194303,8388607,580247353
9,4194303,8388607,593365693
10,4194303,8388607,549839673
10,4194303,8388607,550480108
10,4194303,8388607,542262128
10,4194303,8388607,541620031
10,4194303,8388607,540695958
10,4194303,8388607,550175601
10,4194303,8388607,529738799
10,4194303,8388607,553180277
10,4194303,8388607,545037076
10,4194303,8388607,545403871
11,4194303,8388607,514862852
11,4194303,8388607,515464053
11,4194303,8388607,516958742
11,4194303,8388607,521519610
11,4194303,8388607,502235899
11,4194303,8388607,532877346
11,4194303,8388607,513455698
11,4194303,8388607,511329312
11,4194303,8388607,518031695
11,4194303,8388607,517532124
